date,Vgas_m3,Qboiler_prod_Gcal,air_temp_daily,Qgas_ccal_m3,T1_c_mean,T2_c_mean
2022-01-01,13143.0,83.245,-2.3041666666666667,8121,80.0,46.0
2022-01-02,14814.0,103.855,-8.5375,8121,96.0,53.0
2022-01-03,14523.0,106.003,-9.104166666666666,8121,96.0,53.0
2022-01-04,13295.0,101.535,-9.375,8121,96.0,53.0
2022-01-05,12394.0,94.071,-7.154166666666666,8121,91.0,51.0
2022-01-06,11657.0,79.148,-0.75,8121,77.5,45.0
2022-01-07,15147.0,98.246,-5.670833333333333,8121,89.0,50.0
2022-01-08,13025.0,104.087,-6.483333333333333,8121,89.0,50.0
2022-01-09,14375.0,93.66,-5.833333333333333,8121,89.0,50.0
2022-01-10,16478.0,108.317,-7.483333333333333,8121,91.0,51.0
2022-01-11,18874.0,128.738,-10.920833333333334,8121,100.0,56.0
2022-01-12,21453.0,143.522,-15.879166666666668,8121,110.5,60.0
2022-01-13,11126.0,132.083,-11.204166666666666,8121,100.0,56.0
2022-01-14,11811.0,70.845,-0.12083333333333333,8121,75.0,44.0
2022-01-15,12402.0,88.268,-2.8208333333333333,8121,81.5,47.0
2022-01-16,12749.0,93.779,-5.366666666666667,8121,87.0,49.0
2022-01-17,12701.0,91.013,-3.0583333333333336,8121,81.5,47.0
2022-01-18,16622.0,101.157,-5.641666666666667,8121,89.0,50.0
2022-01-19,12059.0,113.111,-8.416666666666666,8121,93.5,52.0
2022-01-20,12151.0,85.741,-3.4125,8121,81.5,47.0
2022-01-21,14317.0,96.838,-5.541666666666667,8121,89.0,50.0
2022-01-22,13225.0,94.151,-5.125,8121,87.0,49.0
2022-01-23,14412.0,99.739,-5.9875,8121,89.0,50.0
2022-01-24,15353.0,107.2158,-8.779166666666667,8121,96.0,53.0
2022-01-25,13875.0,111.0074,-9.387500000000001,8121,96.0,53.0
2022-01-26,13748.0,95.9013,-6.75,8121,91.0,51.0
2022-01-27,14080.0,102.2677,-9.4625,8121,96.0,53.0
2022-01-28,13331.0,99.9793,-6.870833333333334,8121,91.0,51.0
2022-01-29,12270.0,90.7085,-6.295833333333333,8121,89.0,50.0
2022-01-30,12407.0,89.9321,-4.408333333333333,8121,84.5,48.0
2022-01-31,12077.0,87.6661,-2.779166666666667,8121,81.5,47.0
2022-02-01,12147.0,86.0118,-3.1666666666666665,8130,81.5,47.0
2022-02-02,13201.0,93.5758,-4.979166666666667,8130,87.0,49.0
2022-02-03,13215.0,94.6601,-6.941666666666666,8130,91.0,51.0
2022-02-04,13366.0,98.5092,-8.058333333333334,8130,93.5,52.0
2022-02-05,15677.0,100.7424,-9.933333333333334,8130,98.0,55.0
2022-02-06,12312.0,107.9862,-7.9624999999999995,8130,93.5,52.0
2022-02-07,10142.0,83.627,-2.125,8130,80.0,46.0
2022-02-08,11338.0,74.9648,-0.6124999999999999,8130,77.5,45.0
2022-02-09,11027.0,81.8815,-2.191666666666667,8130,80.0,46.0
2022-02-10,10819.0,78.8447,-0.7166666666666667,8130,77.5,45.0
2022-02-11,10914.0,76.8852,-1.5416666666666667,8130,80.0,46.0
2022-02-12,11133.0,82.9829,-2.495833333333333,8130,80.0,46.0
2022-02-13,11545.0,75.2524,-1.1166666666666667,8130,77.5,45.0
2022-02-14,11629.0,83.0887,-2.158333333333333,8130,80.0,46.0
2022-02-15,11209.0,79.9037,-2.9625,8130,81.5,47.0
2022-02-16,11122.0,86.5484,-3.3166666666666664,8130,81.5,47.0
2022-02-17,9375.0,75.8829,0.5708333333333333,8130,72.0,43.0
2022-02-18,10229.0,69.707,0.24583333333333335,8130,75.0,44.0
2022-02-19,9500.0,73.6282,0.09583333333333333,8130,75.0,44.0
2022-02-20,10476.0,70.6308,0.1375,8130,75.0,44.0
2022-02-21,10037.0,74.5657,-0.29583333333333334,8130,75.0,44.0
2022-02-22,9721.0,71.6629,1.7291666666666667,8130,70.0,42.0
2022-02-23,11540.0,74.0543,-0.2416666666666667,8130,75.0,44.0
2022-02-24,12526.0,86.2993,-2.6125000000000003,8130,81.5,47.0
2022-02-25,10081.0,81.4066,-2.5625,8130,81.5,47.0
2022-02-26,10384.0,71.9468,-0.6916666666666668,8130,77.5,45.0
2022-02-27,13668.0,83.1098,-4.033333333333333,8130,84.5,48.0
2022-02-28,13220.0,95.872,-5.841666666666666,8130,89.0,50.0
2022-03-01,11945.0,90.5606,-6.533333333333334,8130,91.0,51.0
2022-03-02,11373.0,84.9762,-4.925,8130,87.0,49.0
2022-03-03,10923.0,82.4121,-4.7,8130,87.0,49.0
2022-03-04,11022.0,84.4098,-3.5625,8130,84.5,48.0
2022-03-05,14167.0,85.5094,-2.6875,8130,81.5,47.0
2022-03-06,10185.0,93.5848,-4.125,8130,84.5,48.0
2022-03-07,14013.0,79.4593,-1.9875,8130,80.0,46.0
2022-03-08,17247.0,112.7991,-6.104166666666667,8130,89.0,50.0
2022-03-09,17448.0,126.9086,-11.658333333333333,8130,102.0,57.0
2022-03-10,15720.0,118.826,-11.3125,8130,100.0,56.0
2022-03-11,11280.0,103.6613,-8.629166666666666,8130,96.0,53.0
2022-03-12,11635.0,86.3809,-4.425,8130,84.5,48.0
2022-03-13,9321.0,75.3607,-2.1875,8130,80.0,46.0
2022-03-14,12081.0,71.7585,-0.2875,8130,75.0,44.0
2022-03-15,13502.0,89.2295,-5.391666666666667,8130,87.0,49.0
2022-03-16,11392.0,93.419,-7.679166666666667,8130,93.5,52.0
